Aces,First Serve points,Second Serve points,Net points,Break points,Receiving points,Winners ,Double Faults,Unforced Errors,Result
11,80,41,78,27,32,28,4,43,L
5,74,60,67,44,37,33,1,38,W
13,75,56,73,27,40,48,5,55,W
8,63,54,68,17,32,23,3,44,L
17,67,50,59,31,36,55,6,61,L
6,77,47,62,50,40,37,8,45,W
18,82,37,89,33,32,42,2,26,L
8,78,54,75,38,36,44,6,35,W
7,69,44,77,43,34,33,5,44,L
10,78,47,63,36,40,53,6,41,W
18,71,57,63,0,22,48,8,33,L
44,79,75,63,43,34,79,1,32,W
4,66,33,63,29,32,27,2,44,L
13,84,45,89,67,45,41,6,32,W
0,74,47,74,100,26,46,6,54,L
14,81,63,94,43,37,44,4,32,W
